experiment_name	model_family	experiment_type	relative_source_dir	config_file	has_best_model	has_latest_model	checkpoint_count	has_optimizer_state	miou	accuracy	kappa	f1	precision	recall	loss	best_epoch_or_iter	metric_source	recommend_publish	notes
farseg_data_split/batch_probes_20260405_115054/bs24	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs24	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs24/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=24, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_115054/bs26	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs26	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs26/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=26, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_115054/bs28	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs28	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs28/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=28, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_115054/bs30	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs30	paddlers/farseg_data_split/output/batch_probes_20260405_115054/bs30/config_snapshot/resolved_train_config.json	yes	yes	0	no										no	16类, K=4, heads=4, crop=512, bs=30, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/formal_gpu1_bs20_20260405_122442	FarSeg	formal routed experiment	paddlers/farseg_data_split/output/formal_gpu1_bs20_20260405_122442	paddlers/farseg_data_split/output/formal_gpu1_bs20_20260405_122442/config_snapshot/resolved_train_config.json	yes	yes	40	yes										no	16类, K=4, heads=4, crop=512, bs=20, epochs=40
farseg_data_split/formal_gpu1_bs22_20260405_120445	FarSeg	formal routed experiment	paddlers/farseg_data_split/output/formal_gpu1_bs22_20260405_120445	paddlers/farseg_data_split/output/formal_gpu1_bs22_20260405_120445/config_snapshot/resolved_train_config.json	yes	yes	0	no										no	16类, K=4, heads=4, crop=512, bs=22, epochs=40
farseg_data_split/formal_gpu1_bs22_20260405_120731	FarSeg	formal routed experiment	paddlers/farseg_data_split/output/formal_gpu1_bs22_20260405_120731	paddlers/farseg_data_split/output/formal_gpu1_bs22_20260405_120731/config_snapshot/resolved_train_config.json	yes	yes	0	no										no	16类, K=4, heads=4, crop=512, bs=22, epochs=40
farseg_data_split/stability_bs20_20260405_121138	FarSeg	stability probe	paddlers/farseg_data_split/output/stability_bs20_20260405_121138	paddlers/farseg_data_split/output/stability_bs20_20260405_121138/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=20, epochs=1
farseg_data_split/stability_bs22_20260405_120140	FarSeg	stability probe	paddlers/farseg_data_split/output/stability_bs22_20260405_120140	paddlers/farseg_data_split/output/stability_bs22_20260405_120140/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=22, epochs=1
farseg_data_split/stability_bs24_20260405_115919	FarSeg	stability probe	paddlers/farseg_data_split/output/stability_bs24_20260405_115919	paddlers/farseg_data_split/output/stability_bs24_20260405_115919/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=24, epochs=1
